"STATE"	"IDCENSUS"	"NAME"	"CONUM"	"ENROLL"	"TOTALREV"	"TFEDREV"	"TSTREV"	"TLOCREV"	"TOTALEXP"	"TCURISAL"	"TCURIBEN"	"PPCSTOT"	"PPSALWG"	"PPEMPBEN"	"PPITOTAL"	"PPISALWG"	"PPIEMBEN"
"10421"	"OK"	37503700200000	"CASHION SCH DIST 89"	40073	517	5245	289	1493	3463	4801	1542	459	8534	4242	1313	4886	2983	888
"10422"	"OK"	37503700300000	"DOVER SCH DIST 2"	40073	168	3096	497	816	1783	2337	667	227	12405	5893	1964	7065	3970	1351
"10423"	"OK"	37503700500000	"HENNESSEY SCH DIST 16"	40073	924	8129	1121	3895	3113	7423	2742	914	7839	4274	1354	4711	2968	989
"10424"	"OK"	37503700600000	"KINGFISHER SCH DIST 7"	40073	1455	13796	2149	6460	5187	14584	4453	1393	8795	4391	1383	5148	3060	957
"10425"	"OK"	37503700900000	"OKARCHE SCH DIST 105"	40073	348	3697	165	794	2738	3664	1118	380	8440	4175	1399	4693	3213	1092
"10426"	"OK"	3.7503701e+13	"LOMEGA SCH DIST 3"	40073	260	3109	267	1358	1484	3234	877	310	10542	4696	1635	5950	3373	1192
"10427"	"OK"	37503800400000	"HOBART SCH DIST 1"	40075	830	7347	706	4052	2589	7010	2301	800	7840	4159	1447	4600	2772	964
"10428"	"OK"	37503800500000	"LONE WOLF SCH DIST 2"	40075	132	1056	127	488	441	1153	438	150	8000	4462	1462	5114	3318	1136
"10429"	"OK"	3.7503801e+13	"SNYDER SCH DIST 4"	40075	444	4303	541	2438	1324	4358	1520	535	9813	5381	1867	5115	3423	1205
"10430"	"OK"	37503820100000	"MT VIEW-GOTEBO SCH DIST I-3"	40075	254	3783	311	1222	2250	3973	924	324	11811	5594	1933	5638	3638	1276
"10431"	"OK"	37503900300000	"BUFFALO VALLEY SCH DIST 3"	40077	144	1741	224	1037	480	1732	556	216	11771	5764	2076	6972	3861	1500
"10432"	"OK"	3.7503901e+13	"PANOLA SCH DIST 4"	40077	152	1796	234	901	661	1808	688	220	11724	6908	2138	6461	4526	1447
"10433"	"OK"	37503901300000	"RED OAK SCH DIST 2"	40077	292	2864	362	1314	1188	2966	902	283	9164	4281	1455	4705	3089	969
"10434"	"OK"	37503901400000	"WILBURTON SCH DIST 1"	40077	925	7943	968	4343	2632	7421	2826	1016	7743	4462	1589	4463	3055	1098
"10435"	"OK"	37504000100000	"ARKOMA SCH DIST 91"	40079	398	3581	927	2139	515	3659	1103	412	8332	4291	1613	4749	2771	1035
"10436"	"OK"	37504000300000	"BOKOSHE SCH DIST 26"	40079	224	2030	346	1197	487	2339	704	244	9027	4594	1589	5054	3143	1089
